date,winning_times,tail_wind,birth_date,country,age
2009-08-16,9.58,0.9,1986-08-21,JAM,23.002739726027396
2012-05-08,9.63,1.5,1986-08-21,JAM,25.731506849315068
2008-08-16,9.69,0.0,1986-08-21,JAM,22.002739726027396
2009-09-20,9.69,2.0,1982-09-08,USA,27.052054794520547
2012-08-23,9.69,-0.1,1989-12-26,JAM,22.673972602739727
2009-08-16,9.71,0.9,1982-09-08,USA,26.956164383561642
2008-05-31,9.72,1.7,1986-08-21,JAM,21.791780821917808
2008-02-09,9.72,0.2,1982-11-23,JAM,25.23013698630137
2007-09-09,9.74,1.7,1982-11-23,JAM,24.81095890410959
2015-05-15,9.74,0.9,1982-10-02,USA,32.63835616438356
2012-06-29,9.75,1.1,1989-12-26,JAM,22.523287671232875
2012-05-08,9.75,1.5,1989-12-26,JAM,22.38082191780822
2015-04-06,9.75,0.9,1982-10-02,USA,32.53150684931507
2015-09-07,9.75,1.4,1982-10-02,USA,32.95342465753425
2008-03-05,9.76,1.8,1986-08-21,JAM,21.553424657534247
2011-09-16,9.76,1.3,1986-08-21,JAM,25.087671232876712
2012-05-31,9.76,-0.1,1986-08-21,JAM,25.794520547945204
2012-08-30,9.76,1.4,1989-12-26,JAM,22.693150684931506
2019-09-28,9.76,0.6,1996-06-03,USA,23.334246575342465
2005-06-14,9.77,1.6,1982-11-23,JAM,22.572602739726026
2006-11-06,9.77,1.5,1982-11-23,JAM,23.96986301369863
2006-08-18,9.77,1.0,1982-11-23,JAM,23.75068493150685
2008-06-28,9.77,1.6,1982-09-08,USA,25.82191780821918
2008-05-09,9.77,-1.3,1986-08-21,JAM,21.731506849315068
2008-07-09,9.77,0.9,1982-11-23,JAM,25.643835616438356
2009-10-07,9.77,0.4,1982-09-08,USA,27.0986301369863
2013-11-08,9.77,-0.3,1986-08-21,JAM,27.235616438356164
2014-05-09,9.77,0.6,1982-10-02,USA,31.621917808219177
2015-08-23,9.77,0.9,1982-10-02,USA,32.912328767123284
2007-09-09,9.78,0.0,1982-11-23,JAM,24.81095890410959
2010-08-13,9.78,-0.4,1982-09-08,USA,27.947945205479453
2010-08-29,9.78,0.9,1985-10-11,JAM,24.898630136986302
2011-06-30,9.78,1.0,1982-11-23,JAM,28.61917808219178
2015-07-17,9.78,-0.3,1982-10-02,USA,32.81095890410959
1999-06-16,9.79,0.1,1974-07-23,USA,24.915068493150685
2009-07-17,9.79,-0.2,1986-08-21,JAM,22.92054794520548
2010-08-27,9.79,0.1,1982-09-08,USA,27.986301369863014
2011-04-06,9.79,1.1,1982-09-08,USA,28.594520547945205
2012-07-06,9.79,0.6,1986-08-21,JAM,25.893150684931506
2012-05-08,9.79,1.5,1982-10-02,USA,29.61917808219178
2015-08-23,9.79,-0.5,1986-08-21,JAM,29.024657534246575
2018-08-31,9.79,-0.3,1996-06-03,USA,22.257534246575343
1999-08-22,9.8,0.2,1974-07-23,USA,25.0986301369863
2011-04-06,9.8,1.3,1982-11-29,JAM,28.36986301369863
2012-06-24,9.8,1.8,1982-10-02,USA,29.747945205479454
2013-06-09,9.8,0.6,1986-08-21,JAM,26.81917808219178
2014-03-07,9.8,0.1,1982-10-02,USA,31.44931506849315
2015-08-23,9.8,-0.5,1982-10-02,USA,32.912328767123284
2016-03-07,9.8,1.6,1982-10-02,USA,33.45205479452055
2009-08-28,9.81,0.0,1986-08-21,JAM,23.035616438356165
2015-04-07,9.81,1.3,1982-11-23,JAM,32.391780821917806
2016-08-14,9.81,0.2,1986-08-21,JAM,30.002739726027396
2019-06-30,9.81,-0.1,1996-06-03,USA,23.087671232876712
2001-05-08,9.82,-0.2,1974-07-23,USA,26.81095890410959
2008-07-29,9.82,0.0,1982-11-23,JAM,25.698630136986303
2008-07-09,9.82,1.4,1982-11-23,JAM,25.643835616438356
2009-09-15,9.82,1.4,1982-11-23,JAM,26.83013698630137
2010-10-06,9.82,0.6,1982-11-23,JAM,27.887671232876713
2010-08-07,9.82,0.5,1986-08-21,JAM,23.97808219178082
2011-08-09,9.82,0.0,1989-12-26,JAM,21.632876712328766
2011-11-09,9.82,0.1,1989-12-26,JAM,21.884931506849316
2012-05-05,9.82,1.8,1986-08-21,JAM,25.723287671232878
2012-05-08,9.82,0.7,1982-10-02,USA,29.61917808219178
2014-06-21,9.82,1.7,1985-07-06,TTO,28.97808219178082
2014-07-14,9.82,-0.1,1982-10-02,USA,31.802739726027397
2017-07-06,9.82,1.3,1996-06-03,USA,21.104109589041094
2007-09-22,9.83,-0.3,1982-11-23,JAM,24.846575342465755
2008-08-29,9.83,-0.5,1986-08-21,JAM,22.03835616438356
2008-05-09,9.83,-1.3,1982-11-23,JAM,25.476712328767125
2010-05-27,9.83,-0.5,1982-11-23,JAM,27.526027397260275
2014-07-09,9.83,0.7,1982-10-02,USA,31.78904109589041
2016-03-07,9.83,1.7,1982-10-02,USA,33.45205479452055
1996-07-27,9.84,0.7,2067-12-16,CAN,-71.43561643835616
1999-08-22,9.84,0.2,2067-12-07,CAN,-68.33972602739726
2005-07-05,9.84,1.8,1982-11-23,JAM,22.63013698630137
2006-08-18,9.84,1.0,1982-09-08,USA,23.958904109589042
2007-06-22,9.84,-0.5,1982-09-08,USA,24.802739726027397
2007-09-14,9.84,-0.3,1982-11-23,JAM,24.824657534246576
2009-08-16,9.84,0.9,1982-11-23,JAM,26.747945205479454
2010-07-16,9.84,-0.3,1986-08-21,JAM,23.91780821917808
2010-06-08,9.84,0.0,1982-09-08,USA,27.767123287671232
2012-09-05,9.84,0.5,1989-12-26,JAM,22.70958904109589
2015-09-05,9.84,1.8,1982-11-23,JAM,32.8054794520548
2015-06-25,9.84,1.3,1995-10-07,USA,19.72876712328767
2015-06-26,9.84,0.9,1982-11-23,JAM,32.61095890410959
2016-03-07,9.84,1.6,1995-10-07,USA,20.43013698630137
1994-06-07,9.85,1.2,2067-02-21,USA,-72.75890410958904
1999-07-07,9.85,0.8,1974-07-23,USA,24.972602739726028
2004-08-22,9.85,0.6,1982-10-02,USA,21.904109589041095
2005-09-06,9.85,0.6,1982-11-23,JAM,22.802739726027397
2006-12-05,9.85,1.7,1984-09-07,NGR,22.257534246575343
2006-08-07,9.85,0.1,1982-11-23,JAM,23.720547945205478
2006-07-14,9.85,0.5,1982-11-23,JAM,23.654794520547945
2007-08-26,9.85,-0.5,1982-09-08,USA,24.980821917808218
2008-05-31,9.85,1.7,1982-09-08,USA,25.745205479452054
2008-06-28,9.85,-0.1,1986-08-21,JAM,21.86849315068493
2008-08-16,9.85,-0.1,1986-08-21,JAM,22.002739726027396
2009-09-20,9.85,2.0,1982-11-23,JAM,26.843835616438355
2010-08-27,9.85,0.1,1985-10-11,JAM,24.893150684931506
2011-04-06,9.85,1.3,1985-04-24,USA,25.96712328767123
2011-08-13,9.85,1.0,1985-07-06,TTO,26.12054794520548
2011-09-13,9.85,0.1,1986-08-21,JAM,25.07945205479452
2012-07-06,9.85,0.6,1982-11-23,JAM,29.638356164383563
2012-07-17,9.85,1.6,1989-12-26,JAM,22.572602739726026
2012-05-08,9.85,1.7,1989-12-26,JAM,22.38082191780822
2013-07-26,9.85,0.2,1986-08-21,JAM,26.947945205479453
2013-11-08,9.85,-0.3,1982-10-02,USA,31.123287671232877
2019-06-13,9.85,0.9,1996-06-03,USA,23.041095890410958
1991-08-25,9.86,1.2,2061-01-07,USA,-69.41917808219178
1996-03-07,9.86,-0.4,2067-02-10,NAM,-70.97808219178083
1997-03-08,9.86,0.2,1974-07-23,USA,22.64109589041096
1998-04-19,9.86,1.8,1973-12-30,TTO,24.317808219178083
1998-06-17,9.86,-0.4,1973-12-30,TTO,24.47945205479452
1999-06-16,9.86,0.1,1973-12-30,TTO,25.476712328767125
1999-02-07,9.86,0.4,1973-12-30,TTO,25.123287671232877
2000-01-09,9.86,-0.2,1974-07-23,USA,25.482191780821918
2004-08-22,9.86,0.6,1978-11-22,POR,25.767123287671232
2006-07-25,9.86,0.2,1982-11-23,JAM,23.684931506849313
2006-03-09,9.86,-0.5,1982-11-23,JAM,23.306849315068494
2009-06-27,9.86,-0.2,1986-08-21,JAM,22.865753424657534
2010-05-19,9.86,0.1,1986-08-21,JAM,23.75890410958904
2010-08-08,9.86,1.0,1985-10-11,JAM,24.84109589041096
2011-07-30,9.86,2.0,1982-11-23,JAM,28.7013698630137
2012-06-23,9.86,1.4,1988-08-03,TTO,23.904109589041095
2012-06-24,9.86,1.8,1982-09-08,USA,29.813698630136987
2012-06-29,9.86,1.1,1986-08-21,JAM,25.873972602739727
2012-07-09,9.86,0.3,1986-08-21,JAM,25.9013698630137
2013-04-05,9.86,0.2,1982-09-08,USA,30.594520547945205
2014-06-17,9.86,-0.4,1982-10-02,USA,31.72876712328767
2015-06-27,9.86,1.1,1988-08-03,TTO,26.915068493150685
2015-04-07,9.86,1.3,1992-02-27,FRA,23.123287671232877
2015-08-23,9.86,0.9,1985-04-24,USA,30.350684931506848
2016-07-06,9.86,1.8,1992-02-27,FRA,24.372602739726027
2016-03-07,9.86,2.0,1995-10-07,USA,20.43013698630137
2016-08-14,9.86,0.2,1986-08-21,JAM,30.002739726027396
2019-05-18,9.86,0.9,1997-07-18,USA,21.846575342465755
2019-05-18,9.86,0.9,1996-06-03,USA,22.96986301369863
2019-07-06,9.86,0.8,1996-05-14,NGR,23.15890410958904
1993-08-15,9.87,0.3,2060-02-04,GBR,-66.51780821917808
1996-06-25,9.87,1.9,2067-02-10,NAM,-70.67671232876712
1997-02-08,9.87,1.3,1973-12-30,TTO,23.126027397260273
1998-11-09,9.87,-0.2,1976-03-30,BAR,22.627397260273973
1999-07-30,9.87,0.6,1974-07-23,USA,25.035616438356165
2000-09-23,9.87,-0.3,1974-07-23,USA,26.18904109589041
2004-08-22,9.87,0.6,1974-07-23,USA,30.104109589041094
2004-03-09,9.87,0.2,1982-11-23,JAM,21.306849315068494
2008-08-31,9.87,0.7,1982-11-23,JAM,25.78904109589041
2008-09-13,9.87,0.4,1982-11-23,JAM,25.824657534246576
2012-11-05,9.87,0.4,1982-10-02,USA,30.115068493150684
2012-05-08,9.87,1.0,1986-08-21,JAM,25.731506849315068
2013-07-13,9.87,1.8,1985-10-11,JAM,27.77260273972603
2014-05-21,9.87,0.0,1982-10-02,USA,31.654794520547945
2014-08-23,9.87,1.6,1982-11-23,JAM,31.76986301369863
2015-06-26,9.87,0.0,1982-09-08,USA,32.81917808219178
2015-07-14,9.87,0.0,1982-11-23,JAM,32.66027397260274
2015-07-21,9.87,0.0,1982-11-23,JAM,32.679452054794524
2015-07-24,9.87,-1.2,1986-08-21,JAM,28.942465753424656
2015-07-24,9.87,-0.8,1986-08-21,JAM,28.942465753424656
2018-08-22,9.87,-0.1,1993-10-15,USA,24.86849315068493
2019-06-30,9.87,-0.1,1982-10-02,USA,36.76712328767123
1991-08-25,9.88,1.2,2067-02-21,USA,-75.54520547945205
1998-09-17,9.88,-0.1,1973-12-30,TTO,24.731506849315068
2001-07-13,9.88,2.0,1973-12-30,TTO,27.553424657534247
2004-06-19,9.88,1.8,1978-01-14,USA,26.446575342465753
2005-07-08,9.88,0.4,1982-10-02,USA,22.78082191780822
2006-07-21,9.88,2.0,1982-09-08,USA,23.882191780821916
2006-09-16,9.88,1.1,1982-09-08,USA,24.03835616438356
2008-07-22,9.88,0.4,1982-11-23,JAM,25.67945205479452
2009-10-07,9.88,0.4,1982-11-23,JAM,26.89041095890411
2009-08-28,9.88,0.0,1982-11-23,JAM,26.78082191780822
2009-12-09,9.88,-0.2,1982-09-08,USA,27.27123287671233
2010-05-27,9.88,1.2,1982-11-23,JAM,27.526027397260275
2010-08-08,9.88,1.0,1986-01-31,USA,24.534246575342465
2010-08-29,9.88,0.9,1989-04-13,USA,21.39178082191781
2011-06-30,9.88,1.0,1982-06-10,JAM,29.073972602739726
2011-07-22,9.88,1.0,1986-08-21,JAM,24.934246575342467
2012-11-05,9.88,0.4,1982-11-23,JAM,29.972602739726028
2012-06-29,9.88,1.1,1982-11-23,JAM,29.61917808219178
2012-04-08,9.88,1.5,1989-04-13,USA,23.002739726027396
2012-05-08,9.88,1.5,1989-04-13,USA,23.084931506849315
2015-05-30,9.88,1.5,1982-09-08,USA,32.74520547945205
2015-11-07,9.88,1.4,1985-04-24,USA,30.55890410958904
2016-11-06,9.88,1.0,1986-08-21,JAM,30.232876712328768
2016-06-25,9.88,1.9,1992-02-27,FRA,24.34246575342466
2018-06-22,9.88,1.1,1997-07-18,USA,20.942465753424656
2018-06-30,9.88,0.8,1993-10-15,USA,24.723287671232878
2019-09-28,9.88,-0.3,1996-06-03,USA,23.334246575342465
1996-07-27,9.89,0.7,2067-02-10,NAM,-70.58904109589041
1997-10-05,9.89,0.8,1973-12-30,TTO,23.78082191780822
1998-01-08,9.89,1.5,2067-12-07,CAN,-69.95890410958904
2002-12-07,9.89,0.9,1974-07-23,USA,28.394520547945206
2004-08-21,9.89,0.0,1978-01-14,USA,26.61917808219178
2004-08-22,9.89,0.6,1978-01-14,USA,26.621917808219177
2005-07-22,9.89,1.0,1982-10-02,USA,22.81917808219178
2006-09-09,9.89,0.9,1982-11-23,JAM,23.81095890410959
2008-06-28,9.89,1.6,1986-12-13,USA,21.556164383561644
2008-06-28,9.89,1.6,1977-04-12,USA,31.232876712328768
2008-07-22,9.89,0.4,1986-08-21,JAM,21.934246575342467
2008-08-16,9.89,0.0,1985-07-06,TTO,23.12876712328767
2008-09-17,9.89,1.1,1982-11-23,JAM,25.835616438356166
2009-08-16,9.89,0.2,1986-08-21,JAM,23.002739726027396
2009-09-20,9.89,2.0,1977-04-12,USA,32.463013698630135
2010-08-13,9.89,-0.4,1989-12-26,JAM,20.643835616438356
2011-05-21,9.89,2.0,1982-11-29,JAM,28.493150684931507
2011-10-06,9.89,1.3,1987-11-03,ZIM,23.93972602739726
2011-09-16,9.89,1.3,1985-10-11,JAM,25.947945205479453
2012-05-26,9.89,0.9,1988-08-03,TTO,23.827397260273973
2013-06-21,9.89,1.1,1982-10-02,USA,30.73972602739726
2016-07-18,9.89,1.9,1993-09-21,RSA,22.838356164383562
2016-08-14,9.89,0.2,1982-10-02,USA,33.89041095890411
2018-06-21,9.89,1.4,1985-04-24,USA,33.18082191780822
2018-06-22,9.89,0.7,1997-07-18,USA,20.942465753424656
2019-09-28,9.89,0.6,1982-10-02,USA,37.013698630136986
1991-06-14,9.9,1.9,2067-02-21,USA,-75.74246575342465
1996-07-27,9.9,0.7,1973-12-30,TTO,22.589041095890412
1997-06-13,9.9,0.2,1974-07-23,USA,22.90684931506849
1997-02-07,9.9,1.0,1974-07-23,USA,22.561643835616437
1997-07-13,9.9,0.0,1973-12-30,TTO,23.55068493150685
1997-02-08,9.9,1.3,1974-07-23,USA,22.564383561643837
1997-03-08,9.9,0.5,1974-07-23,USA,22.64109589041096
1997-08-22,9.9,0.2,2067-02-10,NAM,-69.51780821917808
1998-05-08,9.9,0.3,1974-07-23,USA,23.80821917808219
2001-06-21,9.9,0.3,1974-07-23,USA,26.931506849315067
2001-04-07,9.9,1.1,1974-07-23,USA,26.726027397260275
2007-07-13,9.9,0.5,1982-11-23,JAM,24.65205479452055
2008-06-27,9.9,1.0,1982-11-23,JAM,25.610958904109587
2009-04-09,9.9,-0.4,1982-11-23,JAM,26.394520547945206
2009-12-09,9.9,-0.2,1982-11-23,JAM,27.063013698630137
2011-04-16,9.9,2.0,1982-11-29,JAM,28.397260273972602
2011-06-24,9.9,0.6,1982-11-23,JAM,28.602739726027398
2011-07-22,9.9,1.0,1985-10-11,JAM,25.794520547945204
2011-07-30,9.9,1.8,1982-11-23,JAM,28.7013698630137
2012-04-14,9.9,1.6,1989-12-26,JAM,22.315068493150687
2012-02-06,9.9,1.3,1982-10-02,USA,29.367123287671234
2012-09-06,9.9,0.7,1989-12-26,JAM,22.71232876712329
2012-06-23,9.9,1.7,1982-10-02,USA,29.745205479452054
2013-11-08,9.9,0.4,1990-07-04,JAM,23.364383561643837
2013-08-29,9.9,-0.3,1986-08-21,JAM,27.041095890410958
2013-06-09,9.9,0.6,1985-04-24,USA,28.145205479452056
2014-07-09,9.9,0.7,1982-11-23,JAM,31.646575342465752
2015-05-30,9.9,1.5,1985-04-24,USA,30.117808219178084
2015-10-06,9.9,1.7,1995-10-07,USA,20.01095890410959
2015-07-24,9.9,-0.8,1985-04-24,USA,30.268493150684932
2017-06-23,9.9,0.9,1989-12-26,JAM,27.50958904109589
2018-06-22,9.9,1.1,1993-10-15,USA,24.7013698630137
2018-07-21,9.9,0.2,1993-10-15,USA,24.78082191780822
2018-07-21,9.9,0.1,1993-10-15,USA,24.78082191780822
2019-09-28,9.9,0.6,1994-10-11,CAN,24.980821917808218
1994-08-23,9.91,1.9,2060-02-04,GBR,-65.4958904109589
1995-07-15,9.91,1.3,2067-12-16,CAN,-72.47123287671234
1996-07-09,9.91,1.5,2066-02-20,USA,-69.66575342465754
1997-02-07,9.91,1.0,2067-02-10,NAM,-70.05479452054794
1997-03-08,9.91,0.5,2067-12-16,CAN,-70.82191780821918
1997-03-08,9.91,0.2,2067-12-16,CAN,-70.82191780821918
1999-08-21,9.91,-0.2,1974-07-23,USA,25.095890410958905
2000-05-13,9.91,-0.4,1974-07-23,USA,25.824657534246576
2001-11-06,9.91,-0.3,1974-07-23,USA,27.30958904109589
2004-06-26,9.91,-0.1,1982-11-23,JAM,21.605479452054794
2004-11-07,9.91,0.0,1974-07-23,USA,30.315068493150687
2004-07-30,9.91,-0.3,1982-11-23,JAM,21.698630136986303
2006-07-28,9.91,-0.6,1982-11-23,JAM,23.693150684931506
2006-09-09,9.91,0.9,1980-01-19,USA,26.65753424657534
2007-08-26,9.91,-0.5,1984-05-01,BAH,23.334246575342465
2008-08-16,9.91,0.3,1982-11-23,JAM,25.747945205479454
2008-08-16,9.91,0.0,1986-01-31,USA,22.556164383561644
2009-07-17,9.91,-0.2,1986-09-09,ANT,22.86849315068493
2009-07-24,9.91,-1.7,1986-08-21,JAM,22.93972602739726
2009-09-20,9.91,2.0,1985-10-11,JAM,23.958904109589042
2010-07-16,9.91,-0.3,1982-11-23,JAM,27.663013698630138
2010-08-27,9.91,0.1,1989-12-26,JAM,20.682191780821917
2011-05-26,9.91,0.6,1986-08-21,JAM,24.778082191780822
2011-05-31,9.91,-0.2,1986-08-21,JAM,24.791780821917808
2011-10-07,9.91,0.4,1982-11-23,JAM,28.89041095890411
2012-05-31,9.91,-0.1,1982-11-23,JAM,29.53972602739726
2012-05-08,9.91,0.7,1984-03-07,NED,28.18904109589041
2013-05-21,9.91,0.1,1982-10-02,USA,30.654794520547945
2013-07-13,9.91,1.1,1987-05-09,GBR,26.197260273972603
2014-05-06,9.91,0.4,1982-10-02,USA,31.613698630136987
2014-07-20,9.91,1.0,1985-04-24,USA,29.257534246575343
2015-04-06,9.91,1.8,1991-01-31,QAT,24.194520547945206
2015-06-26,9.91,0.9,1990-07-04,JAM,24.994520547945207
2015-08-22,9.91,0.5,1995-10-07,USA,19.887671232876713
2016-04-22,9.91,0.6,1991-01-31,QAT,25.24109589041096
2016-08-14,9.91,0.2,1994-10-11,CAN,21.85753424657534
2017-08-27,9.91,1.0,1993-01-07,JAM,24.65205479452055
2018-09-06,9.91,0.4,1995-07-13,GBR,23.167123287671235
2018-06-22,9.91,0.2,1989-08-29,CHN,28.832876712328765
2018-06-30,9.91,0.8,1992-02-27,FRA,26.356164383561644
2018-06-30,9.91,0.8,1989-08-29,CHN,28.854794520547944
2019-12-07,9.91,0.3,1982-10-02,USA,37.205479452054796
1988-09-24,9.92,1.1,2061-01-07,USA,-72.33698630136986
1991-08-25,9.92,1.2,2060-02-04,GBR,-68.4931506849315
1993-08-15,9.92,0.3,2069-01-20,USA,-75.48493150684932
1996-01-06,9.92,0.8,1973-12-30,TTO,22.03287671232877
1996-06-15,9.92,1.1,2066-02-20,USA,-69.73150684931507
1997-12-06,9.92,0.8,2068-09-09,USA,-70.8082191780822
1997-06-13,9.92,0.2,1975-01-28,USA,22.389041095890413
1997-08-22,9.92,0.2,1974-07-23,USA,23.0986301369863
1998-08-08,9.92,0.7,1973-12-30,TTO,24.621917808219177
1998-08-25,9.92,-0.3,1974-07-23,USA,24.106849315068494
1998-11-09,9.92,-0.2,1977-12-28,NGR,20.87945205479452
1999-06-13,9.92,1.1,2067-12-07,CAN,-68.53150684931506
1999-05-07,9.92,1.0,1974-01-27,USA,25.29041095890411
2004-11-07,9.92,0.0,1982-10-02,USA,22.115068493150684
2006-09-09,9.92,0.9,1982-09-08,USA,24.019178082191782
2008-05-17,9.92,0.6,1986-08-21,JAM,21.753424657534246
2008-08-15,9.92,0.1,1986-08-21,JAM,22.0
2008-02-09,9.92,0.2,1986-01-31,USA,22.03835616438356
2010-01-09,9.92,-0.3,1982-09-08,USA,27.356164383561644
2011-04-06,9.92,1.3,1985-10-11,JAM,25.5013698630137
2011-07-29,9.92,2.0,1990-11-06,FRA,20.73972602739726
2011-08-28,9.92,-1.4,1989-12-26,JAM,21.684931506849313
2012-06-29,9.92,1.5,1982-11-23,JAM,29.61917808219178
2013-11-08,9.92,0.1,1986-08-21,JAM,27.235616438356164
2014-05-18,9.92,0.0,1982-10-02,USA,31.646575342465752
2014-07-14,9.92,-0.1,1985-04-24,USA,29.24109589041096
2015-06-25,9.92,1.7,1985-04-24,USA,30.18904109589041
2015-09-07,9.92,1.4,1982-11-23,JAM,32.81095890410959
2015-09-07,9.92,1.4,1982-09-08,USA,33.01917808219178
2015-11-07,9.92,0.7,1992-02-27,FRA,23.70958904109589
2015-07-24,9.92,-1.2,1985-04-24,USA,30.268493150684932
2015-07-24,9.92,-0.8,1992-10-01,JAM,22.824657534246576
2015-08-22,9.92,0.3,1992-02-27,FRA,23.4986301369863
2015-08-23,9.92,-0.5,1994-10-11,CAN,20.87945205479452
2015-08-23,9.92,-0.5,1995-10-07,USA,19.89041095890411
2016-12-06,9.92,0.9,1989-05-04,TUR,27.610958904109587
2016-07-18,9.92,1.9,1982-11-23,JAM,33.673972602739724
2016-08-14,9.92,0.2,1994-10-11,CAN,21.85753424657534
2017-03-18,9.92,1.2,1993-09-21,RSA,23.504109589041096
2017-05-08,9.92,-0.8,1982-10-02,USA,34.62191780821918
2018-04-06,9.92,1.0,1985-04-24,USA,32.97260273972603
2018-09-06,9.92,0.7,1990-05-01,USA,28.36986301369863
2018-06-16,9.92,0.3,1992-02-27,FRA,26.317808219178083
2018-07-18,9.92,0.4,1985-04-24,USA,33.25479452054795
2018-08-26,9.92,0.8,1989-08-29,CHN,29.01095890410959
2019-06-16,9.92,1.1,1993-09-21,RSA,25.75068493150685
2019-05-07,9.92,0.2,1982-10-02,USA,36.61917808219178
2019-12-07,9.92,0.3,1997-07-18,USA,22.4027397260274
1983-03-07,9.93,1.4,2061-08-01,USA,-78.45753424657535
1987-08-30,9.93,1.0,2061-01-07,USA,-73.40821917808219
1988-08-17,9.93,1.1,2061-01-07,USA,-72.44109589041096
1991-06-14,9.93,1.9,2061-01-07,USA,-69.61643835616438
1991-08-25,9.93,1.3,2061-01-07,USA,-69.41917808219178
1992-04-18,9.93,-0.6,2067-04-08,USA,-75.02191780821917
1996-04-21,9.93,1.3,1973-12-30,TTO,22.323287671232876
1996-03-07,9.93,-0.4,2067-12-16,CAN,-71.82465753424657
1996-07-26,9.93,1.1,2067-02-10,NAM,-70.59178082191781
1996-07-27,9.93,-0.6,1973-12-30,TTO,22.589041095890412
1997-03-08,9.93,0.5,2067-02-10,NAM,-69.97534246575343
1998-06-17,9.93,-0.4,2067-02-10,NAM,-68.6986301369863
1998-01-08,9.93,1.5,2067-12-16,CAN,-69.98356164383561
1999-02-07,9.93,0.4,1974-07-23,USA,24.561643835616437
2000-07-14,9.93,0.3,1974-07-23,USA,25.994520547945207
2003-05-05,9.93,1.8,1972-09-26,AUS,30.624657534246577
2004-06-19,9.93,1.8,1974-07-23,USA,29.92876712328767
2004-11-07,9.93,0.8,1978-01-14,USA,26.832876712328765
2004-11-07,9.93,0.0,1978-01-14,USA,26.832876712328765
2004-06-08,9.93,-0.5,1982-11-23,JAM,21.556164383561644
2004-08-21,9.93,0.0,1978-11-22,POR,25.764383561643836
2004-08-21,9.93,-0.2,1974-07-23,USA,30.101369863013698
2006-12-05,9.93,1.1,1984-09-07,NGR,22.257534246575343
2007-08-06,9.93,0.0,1986-01-31,USA,21.526027397260275
2008-05-18,9.93,-0.1,1985-07-06,TTO,22.882191780821916
2008-08-16,9.93,0.3,1985-07-06,TTO,23.12876712328767
2008-08-16,9.93,0.0,1984-03-07,AHO,24.46027397260274
2009-07-20,9.93,1.1,1985-02-05,USA,24.46849315068493
2009-08-16,9.93,-0.2,1982-09-08,USA,26.956164383561642
2009-08-16,9.93,0.9,1986-09-09,ANT,22.95068493150685
2009-08-16,9.93,0.9,1985-07-06,TTO,24.12876712328767
2011-05-26,9.93,0.6,1982-11-23,JAM,28.523287671232875
2011-04-06,9.93,1.0,1988-08-03,TTO,22.687671232876713
2011-10-07,9.93,0.4,1985-10-11,JAM,26.005479452054793
2012-05-16,9.93,0.3,1982-10-02,USA,29.64109589041096
2012-02-06,9.93,1.3,1990-07-04,JAM,21.60821917808219
2012-09-06,9.93,0.7,1988-08-03,TTO,24.10958904109589
2012-06-24,9.93,1.8,1989-04-13,USA,23.213698630136985
2012-08-17,9.93,0.7,1989-04-13,USA,23.361643835616437
2013-11-08,9.93,0.4,1992-10-01,JAM,21.117808219178084
2013-11-08,9.93,0.1,1985-04-24,USA,28.561643835616437
2014-05-17,9.93,1.8,1992-07-20,JAM,21.838356164383562
2014-03-07,9.93,0.1,1982-09-08,USA,31.515068493150686
2014-05-09,9.93,0.6,1985-04-24,USA,29.06027397260274
2014-09-28,9.93,0.4,1991-01-31,QAT,23.673972602739727
2015-09-05,9.93,1.8,1989-04-13,USA,26.413698630136988
2015-10-05,9.93,1.7,1992-05-15,USA,23.405479452054795
2015-07-06,9.93,2.0,1993-12-15,USA,21.56986301369863
2015-09-13,9.93,1.4,1991-01-31,QAT,24.632876712328766
2016-05-29,9.93,1.9,1976-05-04,SKN,40.0958904109589
2016-02-06,9.93,1.0,1982-10-02,USA,33.36986301369863
2016-08-14,9.93,0.2,1989-12-26,JAM,26.65205479452055
2017-04-03,9.93,2.0,1993-09-21,RSA,23.54794520547945
2017-05-20,9.93,0.4,1989-12-26,JAM,27.416438356164385
2017-07-06,9.93,0.8,1994-11-09,USA,22.671232876712327
2017-07-06,9.93,1.6,1994-01-29,USA,23.44931506849315
2017-06-22,9.93,0.2,1996-06-03,USA,21.065753424657533
2018-05-31,9.93,-0.4,1993-10-15,USA,24.64109589041096
2018-09-06,9.93,0.4,1997-07-18,USA,21.15068493150685
2018-06-21,9.93,1.9,1990-05-01,USA,28.15890410958904
2018-06-21,9.93,1.4,1994-11-09,USA,23.63013698630137
2018-07-21,9.93,0.2,1993-09-21,RSA,24.846575342465755
2018-07-21,9.93,0.1,1995-07-13,GBR,23.03835616438356
2018-08-31,9.93,-0.3,1993-10-15,USA,24.893150684931506
2019-07-06,9.93,0.8,1996-07-31,USA,22.945205479452056
2019-07-20,9.93,0.5,1993-09-21,RSA,25.843835616438355
2019-07-24,9.93,1.9,1996-12-29,CIV,22.58082191780822
2019-09-28,9.93,0.6,1993-09-21,RSA,26.035616438356165
1989-06-16,9.94,0.8,2067-02-21,USA,-77.73698630136987
1991-08-25,9.94,1.1,2067-02-21,USA,-75.54520547945205
1993-08-15,9.94,0.3,2069-01-20,USA,-75.48493150684932
1994-04-07,9.94,0.2,1971-11-22,NGR,22.389041095890413
1994-07-22,9.94,1.9,2066-02-20,USA,-71.63287671232877
1994-08-13,9.94,0.5,2066-02-20,USA,-71.57260273972602
1996-03-07,9.94,-0.4,1973-12-30,TTO,22.2
